fixture_id,home_team,away_team,market_id,snapshot_mins,outcome_a_id,outcome_b_id,best_price_a,best_price_b,book_side_a,book_side_b,over_round,arb_margin_%
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,20,1010,1011,2.2534,2.29,sx.bet,prophetx,0.8805,11.955
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,5,1010,1011,2.2475,2.29,sx.bet,prophetx,0.8816,11.839
id1000001761301071,Liverpool FC,West Ham United,1012,720,1012,1013,2.27,2.2662,prophetx,sx.bet,0.8818,11.82
id1000001761301061,Arsenal FC,Chelsea FC,1010,30,1010,1011,2.2534,2.28,sx.bet,prophetx,0.8824,11.763
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,1800,1010,1011,2.2534,2.28,sx.bet,prophetx,0.8824,11.763
id1000001761301061,Arsenal FC,Chelsea FC,1010,300,1010,1011,2.2603,2.27,sx.bet,prophetx,0.883,11.705
id1000001761301073,Manchester United,Crystal Palace,1010,1,1010,1011,2.2289,2.28,sx.bet,prophetx,0.8872,11.276
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,1,1010,1011,2.1917,2.32,sx.bet,prophetx,0.8873,11.269
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,300,1010,1011,2.2475,2.26,sx.bet,prophetx,0.8874,11.259
id1000001761301103,Burnley FC,AFC Bournemouth,1010,720,1010,1011,2.2348,2.25,sx.bet,prophetx,0.8919,10.809
id1000001761301061,Arsenal FC,Chelsea FC,1010,60,1010,1011,2.2103,2.27,sx.bet,prophetx,0.893,10.704
id1000001761301103,Burnley FC,AFC Bournemouth,1010,300,1010,1011,2.2162,2.26,sx.bet,prophetx,0.8937,10.63
id1000001761301073,Manchester United,Crystal Palace,1010,10,1010,1011,2.1917,2.28,sx.bet,prophetx,0.8949,10.513
id1000001761301061,Arsenal FC,Chelsea FC,1010,1,1010,1011,2.1858,2.28,sx.bet,prophetx,0.8961,10.391
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,30,1010,1011,2.2534,2.21,sx.bet,prophetx,0.8963,10.374
id1000001761301061,Arsenal FC,Chelsea FC,1010,10,1010,1011,2.1799,2.28,sx.bet,prophetx,0.8973,10.267
id1000001761301061,Arsenal FC,Chelsea FC,1010,5,1010,1011,2.1799,2.28,sx.bet,prophetx,0.8973,10.267
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,1,1010,1011,2.1858,2.27,sx.bet,prophetx,0.898,10.197
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,300,1010,1011,2.2221,2.23,sx.bet,prophetx,0.8985,10.154
id1000001761301073,Manchester United,Crystal Palace,1010,5,1010,1011,2.1917,2.26,sx.bet,prophetx,0.8987,10.125
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,10,1010,1011,2.1976,2.25,sx.bet,prophetx,0.8995,10.051
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,720,1010,1011,2.2221,2.22,sx.bet,prophetx,0.9005,9.952
id1000001761301061,Arsenal FC,Chelsea FC,1010,720,1010,1011,2.2103,2.23,sx.bet,prophetx,0.9009,9.914
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,5,1010,1011,2.1858,2.25,sx.bet,prophetx,0.9019,9.806
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,1440,1010,1011,2.2034,2.23,sx.bet,prophetx,0.9023,9.773
id1000001761301067,Fulham FC,Tottenham Hotspur,1010,60,1010,1011,2.2103,2.21,sx.bet,prophetx,0.9049,9.508
id1000001761301139,Wolverhampton Wanderers,Arsenal FC,1010,20,1010,1011,2.1917,2.22,sx.bet,prophetx,0.9067,9.328
id1000001761301075,Newcastle United,Everton FC,1010,720,1010,1011,2.1917,2.2,sx.bet,prophetx,0.9108,8.918
id1000001761301075,Newcastle United,Everton FC,1010,1440,1010,1011,2.1976,2.19,sx.bet,prophetx,0.9117,8.833
id1000001761301071,Liverpool FC,West Ham United,1012,1800,1012,1013,2.19,2.174,prophetx,sx.bet,0.9166,8.341
id1000001761301075,Newcastle United,Everton FC,1010,1800,1010,1011,2.1623,2.2,sx.bet,prophetx,0.917,8.298
id1000001761301121,Aston Villa,West Ham United,1010,720,1010,1011,2.174,2.18,sx.bet,prophetx,0.9187,8.131
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,300,1010,1011,2.21,2.1446,prophetx,sx.bet,0.9188,8.123
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,720,1010,1011,2.19,2.1505,prophetx,sx.bet,0.9216,7.838
id1000001761301059,AFC Bournemouth,Sunderland AFC,1010,720,1010,1011,2.1564,2.18,sx.bet,prophetx,0.9225,7.755
id1000001761301087,Leeds United,Sunderland AFC,1010,1440,1010,1011,2.18,2.1162,prophetx,sx.bet,0.9313,6.874
id1000001761301107,Crystal Palace,Leeds United,1010,1440,1010,1011,2.14,2.1103,prophetx,sx.bet,0.9411,5.885
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,60,1010,1011,2.11,2.1329,prophetx,sx.bet,0.9428,5.722
id1000001761301127,Fulham FC,Burnley FC,1010,1440,1010,1011,2.1103,2.12,sx.bet,prophetx,0.9456,5.444
id1000001761301125,Everton FC,Chelsea FC,1010,1440,1010,1011,2.1103,2.12,sx.bet,prophetx,0.9456,5.444
id1000001761301065,Burnley FC,Brentford FC,1010,720,1010,1011,2.0937,2.1,sx.bet,prophetx,0.9538,4.618
id1000001761301059,AFC Bournemouth,Sunderland AFC,1010,1440,1010,1011,2.0937,2.1,sx.bet,prophetx,0.9538,4.618
id1000001761301107,Crystal Palace,Leeds United,1010,1800,1010,1011,2.08,2.1103,kaiyun,sx.bet,0.9546,4.537
id1000001761301121,Aston Villa,West Ham United,1010,1800,1010,1011,2.0829,2.09,sx.bet,prophetx,0.9586,4.143
id1000001761301065,Burnley FC,Brentford FC,1010,1440,1010,1011,2.078,2.09,sx.bet,prophetx,0.9597,4.03
id1000001761301099,Arsenal FC,Everton FC,1010,720,1010,1011,2.11,2.0564,prophetx,sx.bet,0.9602,3.979
id1000001761301059,AFC Bournemouth,Sunderland AFC,1010,1800,1010,1011,2.0829,2.08,sx.bet,prophetx,0.9609,3.913
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,1,1010,1011,2.11,2.0515,prophetx,sx.bet,0.9614,3.863
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,30,1010,1011,2.1,2.0564,prophetx,sx.bet,0.9625,3.753
id1000001761301063,Brighton & Hove Albion,Nottingham Forest,1010,720,1010,1011,2.0721,2.08,sx.bet,prophetx,0.9634,3.663
id1000001761301109,Liverpool FC,Tottenham Hotspur,1012,1440,1012,1013,2.1,2.0515,prophetx,sx.bet,0.9636,3.637
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,5,1010,1011,2.09,2.0515,prophetx,sx.bet,0.9659,3.409
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,20,1010,1011,2.08,2.0515,prophetx,sx.bet,0.9682,3.179
id1000001761301115,Sunderland AFC,Brighton & Hove Albion,1010,10,1010,1011,2.08,2.0515,prophetx,sx.bet,0.9682,3.179
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1010,300,1010,1011,2.0515,2.08,sx.bet,prophetx,0.9682,3.179
